country	year	lifeExp
Eritrea	1967	42.189
Liberia	1997	42.221
Mongolia	1952	42.244
Kenya	1952	42.27
Nicaragua	1952	42.314
Mauritania	1957	42.338
Zambia	2007	42.384
Comoros	1957	42.46
Cote_d'Ivoire	1957	42.469
Mozambique	1977	42.495
Indonesia	1962	42.518
Sierra_Leone	2007	42.568
Uganda	1957	42.571
Congo_Dem_Rep	1997	42.587
Lesotho	2007	42.592
Niger	1982	42.598
Liberia	1972	42.614
Benin	1962	42.618
Cameroon	1962	42.643
Libya	1952	42.723
Angola	2007	42.731
Mozambique	1982	42.795
Nigeria	1972	42.821
Sudan	1967	42.858
Mozambique	1987	42.861
Saudi_Arabia	1957	42.868
Morocco	1952	42.873
Madagascar	1967	42.881
Vietnam	1957	42.887
Guinea	1982	42.891
Somalia	1982	42.955
Tanzania	1957	42.974
Rwanda	1962	43
Algeria	1952	43.077
Ghana	1952	43.149
Jordan	1952	43.158
West_Bank_and_Gaza	1952	43.16
Oman	1962	43.165
Guinea-Bissau	1992	43.266
Central_African_Republic	2002	43.308
Rwanda	2002	43.413
Cambodia	1962	43.415
Swaziland	1957	43.424
Bolivia	1962	43.428
Pakistan	1952	43.436
Bangladesh	1967	43.453
Central_African_Republic	1972	43.457
Zimbabwe	2007	43.487
Ethiopia	1972	43.515
Burundi	1967	43.548
Senegal	1967	43.563
Turkey	1952	43.585
Haiti	1962	43.59
Burkina_Faso	1972	43.591
Chad	1967	43.601
India	1962	43.605
Equatorial_Guinea	1982	43.662
Liberia	2002	43.753
Liberia	1977	43.764
Malawi	1977	43.767
Somalia	1997	43.795
Afghanistan	2007	43.828
Swaziland	2002	43.869
Eritrea	1982	43.89
Peru	1952	43.902
Mali	1982	43.916
Togo	1962	43.922
Nepal	1972	43.971
China	1952	44
Rwanda	1987	44.02
Mozambique	2002	44.026
Congo_Dem_Rep	1967	44.056
Burundi	1972	44.057
Zambia	1957	44.077
Rwanda	1967	44.1
Eritrea	1972	44.142
Guatemala	1957	44.142
Yemen_Rep	1977	44.175
Tanzania	1962	44.246
Mauritania	1962	44.248
Mozambique	1992	44.284
Djibouti	1972	44.366
Egypt	1957	44.444
Comoros	1962	44.467
Somalia	1987	44.501
China	1962	44.50136
Ethiopia	1977	44.51
Nigeria	1977	44.514
Eritrea	1977	44.535
Niger	1987	44.555
Uganda	1997	44.578
Lesotho	2002	44.593
Gabon	1967	44.598
Rwanda	1972	44.6
Tunisia	1952	44.6
Honduras	1957	44.665
Kenya	1957	44.686
Burundi	1992	44.736
Central_African_Republic	2007	44.741
Ghana	1957	44.779
Cameroon	1967	44.799
Madagascar	1972	44.851
Liberia	1982	44.852
Iran	1952	44.869
Guinea-Bissau	1997	44.873
Benin	1967	44.885
Ethiopia	1982	44.916
Cote_d'Ivoire	1962	44.93
Congo_Dem_Rep	2002	44.966
Swaziland	1962	44.992
Rwanda	1977	45
Malawi	2002	45.009
South_Africa	1952	45.009
Bolivia	1967	45.032
Lesotho	1957	45.047
Congo_Rep	1957	45.053
Sudan	1972	45.083
Myanmar	1962	45.108
Namibia	1957	45.226
Mongolia	1957	45.248
Bangladesh	1972	45.252
El_Salvador	1952	45.262
Libya	1957	45.289
Iraq	1952	45.32
Burundi	1997	45.326
Uganda	1962	45.344
Vietnam	1962	45.363
Cambodia	1967	45.415
Morocco	1957	45.423
Nicaragua	1957	45.432
Guinea-Bissau	2002	45.504
Congo_Dem_Rep	1992	45.548
Guinea	1987	45.552
Pakistan	1957	45.557
Chad	1972	45.569
Gambia	1982	45.58
Malawi	1982	45.642
Equatorial_Guinea	1987	45.664
Jordan	1957	45.669
West_Bank_and_Gaza	1957	45.671
Liberia	2007	45.678
Algeria	1957	45.685
Tanzania	1967	45.757
Senegal	1972	45.815
Nigeria	1982	45.826
Syria	1952	45.883
Burundi	1977	45.91
Saudi_Arabia	1962	45.914
Dominican_Republic	1952	45.928
Somalia	2002	45.936
Indonesia	1967	45.964
Congo_Dem_Rep	1972	45.989
Zambia	1962	46.023
Liberia	1987	46.027
Central_African_Republic	1997	46.066
Zambia	1992	46.1
Burkina_Faso	1977	46.137
Rwanda	1982	46.218
Rwanda	2007	46.242
Haiti	1967	46.243
Peru	1957	46.263
Mauritania	1967	46.289
Mozambique	1997	46.344
Mali	1987	46.364
Guinea-Bissau	2007	46.388
Ghana	1962	46.452
Eritrea	1987	46.453
Congo_Dem_Rep	2007	46.462
Sao_Tome_and_Principe	1952	46.471
Comoros	1967	46.472
Djibouti	1977	46.519
Nigeria	2002	46.608
Swaziland	1967	46.633
Botswana	2002	46.634
Ethiopia	1987	46.684
Bolivia	1972	46.714
Nepal	1977	46.748
Togo	1967	46.769
Central_African_Republic	1977	46.775
Zimbabwe	1997	46.809
Cote_d'Ivoire	2002	46.832
Nigeria	2007	46.859
Madagascar	1977	46.881
Nigeria	1987	46.886
Bangladesh	1977	46.923
Guatemala	1962	46.954
Oman	1967	46.988
Egypt	1962	46.992
Benin	1972	47.014
Cameroon	1972	47.049
Tunisia	1957	47.1
Iran	1957	47.181
India	1967	47.193
Cote_d'Ivoire	1967	47.35
Burundi	2002	47.36
Chad	1977	47.383
Niger	1992	47.391
Congo_Dem_Rep	1987	47.412
Korea_Rep	1952	47.453
Malawi	1987	47.457
Nigeria	1997	47.464
Burundi	1982	47.471
Nigeria	1992	47.472
Malawi	1997	47.495
Equatorial_Guinea	1992	47.545
Tanzania	1972	47.62
Botswana	1952	47.622
Pakistan	1962	47.67
Lesotho	1962	47.747
Philippines	1952	47.752
Zambia	1967	47.768
Congo_Dem_Rep	1982	47.784
Sudan	1977	47.8
Congo_Dem_Rep	1977	47.804
Libya	1962	47.808
Uganda	2002	47.813
Vietnam	1967	47.838
Morocco	1962	47.924
Kenya	1962	47.949
South_Africa	1957	47.985
Cote_d'Ivoire	1997	47.991
Honduras	1962	48.041
Haiti	1972	48.042
Uganda	1967	48.051
Ghana	1967	48.072
Turkey	1957	48.079
Ethiopia	1992	48.091
Burkina_Faso	1982	48.122
Jordan	1962	48.126
West_Bank_and_Gaza	1962	48.127
Somalia	2007	48.159
Burundi	1987	48.211
Equatorial_Guinea	1997	48.245
Mongolia	1962	48.251
Syria	1957	48.284
Central_African_Republic	1982	48.295
Algeria	1962	48.303
Malawi	2007	48.303
Cote_d'Ivoire	2007	48.328
Ecuador	1952	48.357
Namibia	1962	48.386
Mali	1992	48.388
Congo_Rep	1962	48.435
Iraq	1957	48.437
Mauritania	1972	48.437
Zimbabwe	1952	48.451
Malaysia	1952	48.463
Tanzania	1997	48.466
Lesotho	1967	48.492
El_Salvador	1957	48.57
Guinea	1992	48.576
Nicaragua	1962	48.632
Gabon	1972	48.69
Djibouti	1982	48.812
Uganda	1992	48.825
Senegal	1977	48.879
Comoros	1972	48.944
Sao_Tome_and_Principe	1957	48.945
Madagascar	1982	48.969
Peru	1962	49.096
Yemen_Rep	1982	49.113
Benin	1977	49.19
Indonesia	1972	49.203
Gambia	1987	49.265
Egypt	1967	49.293
Iran	1962	49.325
South_Africa	2007	49.339
Equatorial_Guinea	2002	49.348
Madagascar	1987	49.35
Cameroon	1977	49.355
Myanmar	1967	49.379
Central_African_Republic	1992	49.396
Ethiopia	1997	49.402
Malawi	1992	49.42
Chad	1982	49.517
Swaziland	1972	49.552
Burkina_Faso	1987	49.557
Tunisia	1962	49.579
Burundi	2007	49.58
Nepal	1982	49.594
Botswana	1957	49.618
Tanzania	2002	49.651
Togo	1972	49.759
Lesotho	1972	49.767
Pakistan	1967	49.8
Cote_d'Ivoire	1972	49.801
Dominican_Republic	1957	49.828
Uganda	1982	49.849
Cameroon	2002	49.856
Ghana	1972	49.875
Saudi_Arabia	1967	49.901
Mali	1997	49.903
Tanzania	1977	49.919
Haiti	1977	49.923
South_Africa	1962	49.951
Eritrea	1992	49.991
Bangladesh	1982	50.009
Guatemala	1967	50.016
Bolivia	1977	50.023
Djibouti	1987	50.04
Korea_Dem_Rep	1952	50.056
Zambia	1972	50.107
Libya	1967	50.227
Vietnam	1972	50.254
Burkina_Faso	1992	50.26
Syria	1962	50.305
Burkina_Faso	1997	50.324
Morocco	1967	50.335
Sudan	1982	50.338
Uganda	1977	50.35
Cameroon	2007	50.43
Tanzania	1992	50.44
Zimbabwe	1957	50.469
Central_African_Republic	1987	50.485
Chad	2002	50.525
China	1957	50.54896
Tanzania	1982	50.608
Colombia	1952	50.643
Burkina_Faso	2002	50.65
Chad	2007	50.651
India	1972	50.651
Kenya	1967	50.654
Ethiopia	2002	50.725
Botswana	2007	50.728
Mexico	1952	50.789
Zambia	1987	50.821
Thailand	1952	50.848
Mauritania	1977	50.852
Benin	1982	50.904
Brazil	1952	50.917
Honduras	1967	50.924
Bahrain	1952	50.939
Comoros	1977	50.939
Cambodia	1982	50.957
Mauritius	1952	50.986
Kenya	2002	50.992
Uganda	1972	51.016
Chad	1987	51.051
Egypt	1972	51.137
Namibia	1967	51.159
Mongolia	1967	51.253
Niger	1997	51.313
Philippines	1957	51.334
Ecuador	1957	51.356
Zambia	1977	51.386
Algeria	1967	51.407
Peru	1967	51.445
Guinea	1997	51.455
Iraq	1962	51.457
Haiti	1982	51.461
Namibia	2002	51.479
Uganda	1987	51.509
Botswana	1962	51.52
Tanzania	1987	51.535
Uganda	2007	51.542
Chad	1997	51.573
Equatorial_Guinea	2007	51.579
Djibouti	1992	51.604
Jordan	1967	51.629
West_Bank_and_Gaza	1967	51.631
Chad	1992	51.724
Sudan	1987	51.744
Ghana	1977	51.756
Mali	2002	51.818
Zambia	1982	51.821
Nicaragua	1967	51.884
Sao_Tome_and_Principe	1962	51.893
South_Africa	1967	51.927
Pakistan	1972	51.929
Congo_Rep	1967	52.04
Cote_d'Ivoire	1992	52.044
Tunisia	1967	52.053
Turkey	1962	52.098
Malaysia	1957	52.102
Oman	1972	52.143
Cameroon	1997	52.199
Lesotho	1977	52.208
Madagascar	1992	52.214
Burkina_Faso	2007	52.295
El_Salvador	1962	52.307
Benin	1987	52.337
Zimbabwe	1962	52.358
Cote_d'Ivoire	1977	52.374
Senegal	1982	52.379
Iran	1967	52.469
Tanzania	2007	52.517
Nepal	1987	52.537
Swaziland	1977	52.537
Botswana	1997	52.556
Gambia	1992	52.644
Korea_Rep	1957	52.681
Indonesia	1977	52.702
Reunion	1952	52.724
Libya	1972	52.773
Gabon	1977	52.79
Bangladesh	1987	52.819
Morocco	1972	52.862
Togo	1977	52.887
Namibia	2007	52.906
Yemen_Rep	1987	52.922
Comoros	1982	52.933
Ethiopia	2007	52.947
Cameroon	1982	52.961
Congo_Rep	1997	52.962
Congo_Rep	2002	52.97
Myanmar	1972	53.07
Djibouti	1997	53.157
Brazil	1957	53.285
Botswana	1967	53.298
Egypt	1977	53.319
South_Africa	2002	53.365
Djibouti	2002	53.373
Eritrea	1997	53.378
Dominican_Republic	1962	53.459
Sudan	1992	53.556
Kenya	1972	53.559
Mauritania	1982	53.599
Thailand	1957	53.63
Haiti	1987	53.636
Syria	1967	53.655
Guinea	2002	53.676
South_Africa	1972	53.696
Guatemala	1972	53.738
Ghana	1982	53.744
Mongolia	1972	53.754
Bosnia_and_Herzegovina	1952	53.82
Bahrain	1957	53.832
Bolivia	1982	53.859
Namibia	1972	53.867
Honduras	1972	53.884
Saudi_Arabia	1972	53.886
Cambodia	1987	53.914
Benin	1992	53.919
Cote_d'Ivoire	1982	53.983
Zimbabwe	1967	53.995
Pakistan	1977	54.043
Korea_Dem_Rep	1957	54.081
Kenya	2007	54.11
India	1977	54.208
Swaziland	1997	54.289
Cameroon	1992	54.314
Turkey	1967	54.336
Benin	2002	54.406
Kenya	1997	54.407
Sao_Tome_and_Principe	1967	54.425
Iraq	1967	54.459
Mali	2007	54.467
Niger	2002	54.496
Algeria	1972	54.518
Ecuador	1962	54.64
Cote_d'Ivoire	1987	54.655
Chile	1952	54.745
Philippines	1962	54.757
Benin	1997	54.777
Djibouti	2007	54.791
Congo_Rep	1972	54.907
Comoros	1987	54.926
Madagascar	1997	54.978
Cameroon	1987	54.985
Lesotho	1982	55.078
Venezuela	1952	55.088
Haiti	1992	55.089
Reunion	1957	55.09
Colombia	1957	55.118
Nicaragua	1972	55.151
Mexico	1957	55.19
Panama	1952	55.191
Albania	1952	55.23
Iran	1972	55.234
Eritrea	2002	55.24
Korea_Rep	1962	55.292
Congo_Rep	2007	55.322
Sudan	1997	55.373
Peru	1972	55.448
Togo	1982	55.471
Mongolia	1977	55.491
South_Africa	1977	55.527
Lesotho	1997	55.558
Swaziland	1982	55.561
Kuwait	1952	55.565
Yemen_Rep	1992	55.599
Tunisia	1972	55.602
Congo_Rep	1977	55.625
Zimbabwe	1972	55.635
Brazil	1962	55.665
Nepal	1992	55.727
Ghana	1987	55.729
Morocco	1977	55.73
Malaysia	1962	55.737
Vietnam	1977	55.764
Senegal	1987	55.769
Cambodia	1992	55.803
El_Salvador	1967	55.855
Gambia	1997	55.861
Lebanon	1952	55.928
Egypt	1982	56.006
Guinea	2007	56.007
Bangladesh	1992	56.018
Botswana	1972	56.024
Guatemala	1977	56.029
Myanmar	1977	56.059
Thailand	1962	56.061
Chile	1957	56.074
Mauritania	1987	56.145
Kenya	1977	56.155
Pakistan	1982	56.158
Indonesia	1982	56.159
Sudan	2002	56.369
Philippines	1967	56.393
Congo_Rep	1992	56.433
Namibia	1977	56.437
Sao_Tome_and_Principe	1972	56.48
Jordan	1972	56.528
West_Bank_and_Gaza	1972	56.532
Cambodia	1997	56.534
Gabon	1982	56.564
India	1982	56.596
El_Salvador	1982	56.604
Korea_Dem_Rep	1962	56.656
Haiti	1997	56.671
Ecuador	1967	56.678
Congo_Rep	1982	56.695
El_Salvador	1977	56.696
Benin	2007	56.728
Gabon	2007	56.735
Dominican_Republic	1967	56.751
Cambodia	2002	56.752
Gabon	2002	56.761
Niger	2007	56.867
Bahrain	1962	56.923
Togo	1987	56.941
Iraq	1972	56.95
Turkey	1972	57.005
Iraq	2002	57.046
Lesotho	1987	57.18
Costa_Rica	1952	57.206
Bolivia	1987	57.251
Madagascar	2002	57.286
Syria	1972	57.296
Oman	1977	57.367
Honduras	1977	57.402
Libya	1977	57.442
Congo_Rep	1987	57.47
Nicaragua	1977	57.47
Mongolia	1982	57.489
Ghana	1992	57.501
Togo	2002	57.561
Sri_Lanka	1952	57.593
Brazil	1967	57.632
Reunion	1962	57.666
Zimbabwe	1977	57.674
Swaziland	1987	57.678
Iran	1977	57.702
Korea_Rep	1967	57.716
Colombia	1962	57.863
Venezuela	1957	57.907
Chile	1962	57.924
Comoros	1992	57.939
Serbia	1952	57.996
Algeria	1977	58.014
Yemen_Rep	1997	58.02
Kuwait	1957	58.033
Eritrea	2007	58.04
Gambia	2002	58.041
Myanmar	1982	58.056
Togo	1992	58.061
Philippines	1972	58.065
Mauritius	1957	58.089
Guatemala	1982	58.137
Haiti	2002	58.137
South_Africa	1982	58.161
Senegal	1992	58.196
El_Salvador	1972	58.207
Pakistan	1987	58.245
Thailand	1967	58.285
Mexico	1962	58.299
Mauritania	1992	58.333
Myanmar	1987	58.339
China	1967	58.38112
Togo	1997	58.39
Togo	2007	58.42
Peru	1977	58.447
Bosnia_and_Herzegovina	1957	58.45
Ghana	2002	58.453
Swaziland	1992	58.474
Taiwan	1952	58.5
Jamaica	1952	58.53
Sao_Tome_and_Principe	1977	58.55
India	1987	58.553
Ghana	1997	58.556
Sudan	2007	58.556
Saudi_Arabia	1977	58.69
Kenya	1982	58.766
Ecuador	1972	58.796
Iraq	1997	58.811
Vietnam	1982	58.816
Namibia	1997	58.909
Namibia	1982	58.968
Trinidad_and_Tobago	1952	59.1
Montenegro	1952	59.164
Panama	1957	59.201
Albania	1957	59.28
Kenya	1992	59.285
Nicaragua	1982	59.298
Botswana	1977	59.319
Myanmar	1992	59.32
Kenya	1987	59.339
Malaysia	1967	59.371
Bangladesh	1997	59.412
Cuba	1952	59.421
Nepal	1997	59.426
Madagascar	2007	59.443
Gambia	2007	59.448
Iraq	1992	59.461
Lebanon	1957	59.489
Brazil	1972	59.504
Turkey	1977	59.507
Iraq	2007	59.545
Bulgaria	1952	59.6
Iran	1982	59.62
Dominican_Republic	1972	59.631
Morocco	1982	59.65
Lesotho	1992	59.685
Cambodia	2007	59.723
Egypt	1987	59.797
Portugal	1952	59.82
Tunisia	1977	59.837
Myanmar	2002	59.908
Bahrain	1967	59.923
Korea_Dem_Rep	1967	59.942
Bolivia	1992	59.957
Colombia	1967	59.963
Ghana	2007	60.022
Costa_Rica	1957	60.026
Philippines	1977	60.06
Mexico	1967	60.11
Indonesia	1987	60.137
Senegal	1997	60.187
Gabon	1987	60.19
Mongolia	1987	60.222
India	1992	60.223
South_Africa	1997	60.236
Mauritius	1962	60.246
Yemen_Rep	2002	60.308
Myanmar	1997	60.328
Sao_Tome_and_Principe	1982	60.351
Zimbabwe	1982	60.363
Zimbabwe	1992	60.377
Singapore	1952	60.396
Thailand	1972	60.405
Iraq	1977	60.413
Mauritania	1997	60.43
Gabon	1997	60.461
Kuwait	1962	60.47
Chile	1967	60.523
Reunion	1967	60.542
Comoros	1997	60.66
West_Bank_and_Gaza	1977	60.765
Venezuela	1962	60.77
Guatemala	1987	60.782
South_Africa	1987	60.834
Namibia	1987	60.835
Pakistan	1992	60.838
Honduras	1982	60.909
Haiti	2007	60.916
Hong_Kong_China	1952	60.96
Turkey	1982	61.036
Romania	1952	61.05
Jordan	1977	61.134
Syria	1977	61.195
Croatia	1952	61.21
Mongolia	1992	61.271
Ecuador	1977	61.31
Poland	1952	61.31
Nepal	2002	61.34
Gabon	1992	61.366
Algeria	1982	61.368
Peru	1982	61.406
Montenegro	1957	61.448
Sri_Lanka	1957	61.456
Botswana	1982	61.484
Brazil	1977	61.489
Portugal	1957	61.51
Mauritius	1967	61.557
Senegal	2002	61.6
Colombia	1972	61.623
Serbia	1957	61.685
Sao_Tome_and_Principe	1987	61.728
India	1997	61.765
Dominican_Republic	1977	61.788
Trinidad_and_Tobago	1957	61.8
Panama	1962	61.817
Pakistan	1997	61.818
South_Africa	1992	61.888
Bosnia_and_Herzegovina	1962	61.93
Namibia	1992	61.999
Nicaragua	1987	62.008
Bangladesh	2002	62.013
Iraq	1982	62.038
Bolivia	1997	62.05
Myanmar	2007	62.069
Philippines	1982	62.082
Lebanon	1962	62.094
Libya	1982	62.155
Sri_Lanka	1962	62.192
Mauritania	2002	62.247
Cuba	1957	62.325
Zimbabwe	1987	62.351
Mexico	1972	62.361
Taiwan	1957	62.4
Argentina	1952	62.485
Thailand	1977	62.494
Jamaica	1957	62.61
Korea_Rep	1972	62.612
Paraguay	1952	62.649
Morocco	1987	62.677
Indonesia	1992	62.681
Yemen_Rep	2007	62.698
Oman	1982	62.728
Sao_Tome_and_Principe	1992	62.742
Botswana	1992	62.745
Vietnam	1987	62.82
Costa_Rica	1962	62.842
India	2002	62.879
Mauritius	1972	62.944
Comoros	2002	62.974
Malaysia	1972	63.01
Saudi_Arabia	1982	63.012
Japan	1952	63.03
Iran	1987	63.04
Senegal	2007	63.062
Turkey	1987	63.108
China	1972	63.11888
El_Salvador	1987	63.154
Singapore	1957	63.179
Paraguay	1957	63.196
Bahrain	1972	63.3
Sao_Tome_and_Principe	1997	63.306
Brazil	1982	63.336
Guatemala	1992	63.373
Chile	1972	63.441
Venezuela	1967	63.479
Pakistan	2002	63.61
Botswana	1987	63.622
Mongolia	1997	63.625
Egypt	1992	63.674
Dominican_Republic	1982	63.727
Montenegro	1962	63.728
Jordan	1982	63.739
Nepal	2007	63.785
Colombia	1977	63.837
Lebanon	1967	63.87
Bolivia	2002	63.883
China	1977	63.96736
Korea_Dem_Rep	1972	63.983
Hungary	1952	64.03
Tunisia	1982	64.048
Bangladesh	2007	64.062
Panama	1967	64.071
Romania	1957	64.1
Peru	1987	64.134
Philippines	1987	64.151
Mauritania	2007	64.164
Sri_Lanka	1967	64.266
Reunion	1972	64.274
Puerto_Rico	1952	64.28
Sao_Tome_and_Principe	2002	64.337
Ecuador	1982	64.342
Slovak_Republic	1952	64.36
Paraguay	1962	64.361
Portugal	1962	64.39
Argentina	1957	64.399
West_Bank_and_Gaza	1982	64.406
Honduras	1987	64.492
Serbia	1962	64.531
Syria	1982	64.59
Thailand	1982	64.597
Kuwait	1967	64.624
India	2007	64.698
Hong_Kong_China	1957	64.75
Korea_Rep	1977	64.766
Croatia	1957	64.77
Bosnia_and_Herzegovina	1967	64.79
Albania	1962	64.82
Trinidad_and_Tobago	1962	64.9
Mauritius	1977	64.93
Spain	1952	64.94
Paraguay	1967	64.951
Mexico	1977	65.032
Mongolia	2002	65.033
Sri_Lanka	1972	65.042
Iraq	1987	65.044
Argentina	1962	65.142
Comoros	2007	65.152
Taiwan	1962	65.2
Brazil	1987	65.205
Cuba	1962	65.246
Malaysia	1977	65.256
Israel	1952	65.39
Morocco	1992	65.393
Trinidad_and_Tobago	1967	65.4
Lebanon	1972	65.421
Costa_Rica	1967	65.424
Pakistan	2007	65.483
Japan	1957	65.5
China	1982	65.525
Sao_Tome_and_Principe	2007	65.528
Bolivia	2007	65.554
Slovenia	1952	65.57
Bahrain	1977	65.593
Jamaica	1962	65.61
Argentina	1967	65.634
Venezuela	1972	65.712
Iran	1992	65.742
Poland	1957	65.77
Singapore	1962	65.798
Algeria	1987	65.799
Paraguay	1972	65.815
Nicaragua	1992	65.843
Greece	1952	65.86
Jordan	1987	65.869
Trinidad_and_Tobago	1972	65.9
Italy	1952	65.94
Sri_Lanka	1977	65.949
Indonesia	1997	66.041
Dominican_Republic	1987	66.046
Uruguay	1952	66.071
Thailand	1987	66.084
Lebanon	1977	66.099
Turkey	1992	66.146
Panama	1972	66.216
Albania	1967	66.22
Libya	1987	66.234
Saudi_Arabia	1987	66.295
Guatemala	1997	66.322
Paraguay	1977	66.353
Honduras	1992	66.399
Hungary	1957	66.41
Peru	1992	66.458
Philippines	1992	66.458
Finland	1952	66.55
Portugal	1967	66.6
Bulgaria	1957	66.61
Colombia	1982	66.653
Spain	1957	66.66
Korea_Dem_Rep	2002	66.662
Mauritius	1982	66.711
El_Salvador	1992	66.798
Austria	1952	66.8
Romania	1962	66.8
Romania	1967	66.8
Mongolia	2007	66.803
Czech_Republic	1952	66.87
Paraguay	1982	66.874
Tunisia	1987	66.894
Ireland	1952	66.91
Serbia	1967	66.914
Syria	1987	66.974
Lebanon	1982	66.983
Uruguay	1957	67.044
West_Bank_and_Gaza	1987	67.046
Chile	1977	67.052
Brazil	1992	67.057
Reunion	1977	67.064
Argentina	1972	67.065
Korea_Rep	1982	67.123
Croatia	1962	67.13
Korea_Dem_Rep	1977	67.159
